
HOT_ID	Domain	Phylum	Class	Order	Family	Genus	Species	Status	Warning	Type_strain	16S_rRNA	Clone_count	Clone_%	Clone_rank	Synonyms	NCBI_taxon_id	NCBI_pubmed_count	NCBI_nucleotide_count	NCBI_protein_count	Genome_ID	General_info	Cultivability	Phenotypic_characteristics	Prevalence	Disease	References
001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Bartonella	schoenbuchensis				NR_025410	0	0.00	0	Strain TFI A28SC					SEQF2664	N/A					
002	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	sp. oral taxon 002				DQ493433	2	0.01	409	Oral Clone AW149						N/A					
003	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	sp. oral taxon 003				AF385529	2	0.01	409	Oral Clone AV069						N/A					
004	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	sp. oral taxon 004				AF385533	1	0.00	459	Oral Clone AW030						N/A					
006	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	sp. oral taxon 006				AY349411	1	0.00	459	Oral Clone FI012						N/A					
007	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	sp. oral taxon 007				AJ223452	2	0.01	409	Oral Clone BF019						N/A					
008	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[11]	Mogibacterium	vescum				AB021702	11	0.03	267							N/A					
009	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	sp. oral taxon 009		1		To be submitted	1	0.00	459	Oral Clone BM052						This taxon has been removed as it was based on a sequence chimera.					
011	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	sp. oral taxon 011				L06165	1	0.00	459	Oral Strain UB-204						N/A					
012	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	sp. oral taxon 012				AF366267	10	0.03	280	Oral Clone DE012						N/A					
013	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	bacilliformis				AY005029	54	0.15	118	Oral Clone AK105					SEQF1969	N/A					
014	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	oralis			6332|DSM 25276|LMG 26725	AY005025|AY005023|GQ131417|JN104029	60	0.17	109	 Oral Clone AP085|Oral Clone AP015 | Neisseria sp. F0314| Neisseria sp. oral taxon 014					SEQF1659	Neisseria sp. Oral taxon 014 strain F0314 has been isolated from a human subject by the Moore&#39;s Laboratory in June 1982. The subject was a 23 year old American white female. The bacteria was isolated from the subgingival oral biofilm at a healthy site. The bacteria was grown in anaerobic conditions. The partial 16S ribosomal RNA gene was deposited to GenBank under the reference GQ131417. The strain is available at www.bei.org under the reference HM-91. This strain is part of the reference strains for the oral section of the Human Microbiome Project.&nbsp; The species has been named Neisseria oralis.&nbsp; The genome is available as ADEA00000000.&nbsp; The genome link above may be disrupted until name at NCBI officially gets changed.					
015	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	sp. oral taxon 015				AY005026	0	0.00	0	Oral Clone AP060						N/A					
016	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	sp. oral taxon 016				AY005024	0	0.00	0	Oral Clone AP067						N/A					
018	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	sp. oral taxon 018				AY005027	5	0.01	343	Oral Clone AP132						N/A					
020	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	sp. oral taxon 020				AY005028	5	0.01	343	Strain TFI B33KA					SEQF1944	N/A					
021	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	vestibularis				AY188353	61	0.17	106						SEQF1705|SEQF2004	N/A					
022	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	mirabilis				AY005030|X73223	138	0.40	50						SEQF1967	N/A					
023	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	acidovorans				AB020186	4	0.01	365	Comamonas acidivorans|Comamonas acidovorans|Pseudomonas acidovorans|Pseudomonas desmolytica|Pseudomonas indoloxidans					SEQF1413|SEQF2536|SEQF2537|SEQF2709	N/A					
024	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Leptothrix	sp. oral taxon 024				AF125876	0	0.00	0	dehydroabietic acid-degrading bacterium DhA-71						N/A					
025	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Leptothrix	sp. oral taxon 025				AF385528	11	0.03	267	Oral Clone AV011a						N/A					
026	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Leptothrix	sp. oral taxon 026				AF385538	9	0.03	294	Oral Clone CA004						N/A					
027	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	sp. oral taxon 027				AY005039	0	0.00	0	Strain TFI C37KA						N/A					
028	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Rhodocyclus	sp. oral taxon 028				AY005031	14	0.04	236	Strain TFI A08KA						N/A					
029	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	vincentii				AF033309	5	0.01	343						SEQF1610|SEQF1947	N/A					
032	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	sp. oral taxon 032				AF385547	8	0.02	309	Oral Clone AZ002						N/A					
035	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	sp. oral taxon 035				AY005034	11	0.03	267	Oral Clone BJ021						N/A					
036	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	sp. oral taxon 036				AY005033	110	0.32	64	Clone BJ095|Strain P7A_FAAD5|Strain W6487						N/A					
037	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	sp. oral taxon 037				AF385546	82	0.24	86	Oral Clone AY088						N/A					
038	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella	uli				AF292373	14	0.04	236	Atopobium uli|Lactobacillus uli					SEQF1031|SEQF2631	N/A					
039	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionacae	Bdellovibrio	sp. oral taxon 039				AF385539	1	0.00	459	Oral Clone CA006						N/A					
040	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	sp. oral taxon 040				AY005035	3	0.01	387	Oral Clone BB161						N/A					
041	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	sp. oral taxon 041				AY005037	32	0.09	158	Oral Clone R004					SEQF2485|SEQF2486|SEQF2538|SEQF2548	N/A					
042	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae[11]	Mogibacterium	timidum				U13042	94	0.27	78	Eubacterium timidum					SEQF2630	N/A					
044	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	sp. oral taxon 044				AY005038	6	0.02	332	Oral Clone BB120						N/A					
045	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	clausii				AJ297498|AB043853	12	0.03	255						SEQF1170	N/A					
046	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Gemella	morbillorum			ATCC 27824	L14327|Y13366	546	1.57	7	Diplococcus morbillorum|Peptostreptococcus morbillorum|Streptococcus morbillorum					SEQF2298	This species was formerly known as Streptococcus morbillorum but was moved to Gemella on the basis of phylogenetic analysis based on 16S rRNA sequence comparisons.	Facultative anaerobe producing small (	Gram positive cocci found in pairs or short chains. Weakly fermentative and generally unreactive in commonly used biochemical and physiological tests and thus difficult to definitively identify by phenotypic means; molecular identification is recommended [1].	Found in dental plaque, on the tongue and has been isolated from periodontal pockets in periodontitis and exudate from pericoronitis associated with erupting third molars	Although found as part of the normal microbiota of the mouth and gastrointestinal orogenital tracts, Gemella morbillorum is capable of causing a wide range of infections. Most of these can be attributed to spread via the bloodstream and thus infective endocarditis is the commonest. Other infections include meningitis, brain, liver and lung abscess, osteomyelitis and septic thrombophlebitis.	J Clin Microbiol. 1998 Apr;36(4):866-71[PID:9542900]
048	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	sp. oral taxon 048				AF385540	9	0.03	294	Oral Clone CA007						N/A					
051	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	vaginalis				AY005048	87	0.25	83						SEQF1783	N/A					
052	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	sp. oral taxon 052				To be submitted	0	0.00	0	Strain TFI DoxG2						N/A					
055	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 055				AY005046	2	0.01	409	Oral Clone AA007						N/A					
056	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 056				AF385545	30	0.09	164	Oral Clone AY020					SEQF1847	N/A					
057	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 057				AF385550	22	0.06	188	Oral Clone BE024						N/A					
058	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 058				AY005042|AY005043|AY005044|AY278632	251	0.72	26	Oral Clone BM035|Oral Clone BW009|Oral Clone C3MLM097|Oral Clone CH016					SEQF1704	N/A					
061	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 061				AF432131|AF432132	49	0.14	128	Oral Clone DN025|Oral Clone DP009						N/A					
064	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 064				AF385574|AY278609	460	1.32	12	Oral Clone C5MLM037|Oral Clone EK048					SEQF2662	N/A					
065	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 065				AF432134	23	0.07	183	Oral Clone FN042						N/A					
066	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 066				AF432135|AF481230	127	0.36	57	Oral Clone FN051|Oral Clone MCE7_144					SEQF1889	N/A					
067	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	sp. oral taxon 067				AF432136	2	0.01	409	Oral Clone FO042						N/A					
